Date,Moutai_CHN,Shell_EUR,Crude,SP500,USTreasury_30Y,CNYUSD,EURUSD
2014-01-02,104.1156997680664,25.920000076293945,95.44000244140625,1831.97998046875,3.9189999103546143,0.16545334458351135,1.3766709566116333
2014-01-03,102.46280670166016,26.065000534057617,93.95999908447266,1831.3699951171875,3.930000066757202,0.16554373502731323,1.3666616678237915
2014-01-06,99.77685546875,25.809999465942383,93.43000030517578,1826.77001953125,3.8980000019073486,0.1655218005180359,1.3596007823944092
2014-01-07,99.63636016845703,26.030000686645508,93.66999816894531,1837.8800048828125,3.88100004196167,0.16548894345760345,1.3631964921951294
2014-01-08,98.67768859863281,25.96500015258789,92.33000183105469,1837.489990234375,3.9030001163482666,0.1655300259590149,1.3616372346878052
2014-01-09,98.62809753417969,25.989999771118164,91.66000366210938,1838.1300048828125,3.872999906539917,0.16552729904651642,1.3572019338607788
2014-01-10,98.57024383544922,26.350000381469727,92.72000122070312,1842.3699951171875,3.7960000038146973,0.16542597115039825,1.360710859298706
2014-01-13,99.0826416015625,26.274999618530273,91.80000305175781,1819.199951171875,3.7669999599456787,0.1655026227235794,1.3671848773956299
2014-01-14,100.25619506835938,26.174999237060547,92.58999633789062,1838.8800048828125,3.799999952316284,0.1657467782497406,1.3669979572296143
2014-01-15,98.14875793457031,26.235000610351562,94.16999816894531,1848.3800048828125,3.805999994277954,0.16580449044704437,1.3668484687805176
2014-01-16,100.81818389892578,26.360000610351562,93.95999908447266,1845.8900146484375,3.7730000019073486,0.16567263007164001,1.359933614730835
2014-01-17,99.4214859008789,26.350000381469727,94.37000274658203,1838.699951171875,3.756999969482422,0.1654040813446045,1.3618041276931763
2014-01-20,104.78512573242188,26.34000015258789,94.37000274658203,1838.699951171875,3.756999969482422,0.1655546873807907,1.3527590036392212
2014-01-21,104.9504165649414,26.295000076293945,94.98999786376953,1843.800048828125,3.739000082015991,0.1654862016439438,1.3549033403396606
2014-01-22,110.8843002319336,26.655000686645508,96.7300033569336,1844.8599853515625,3.759000062942505,0.1655464768409729,1.355913758277893
2014-01-23,110.81818389892578,26.479999542236328,97.31999969482422,1828.4599609375,3.680999994277954,0.16552729904651642,1.354224443435669
2014-01-24,111.98347473144531,26.149999618530273,96.63999938964844,1790.2900390625,3.6510000228881836,0.16551358997821808,1.3689066171646118
2014-01-27,116.32231140136719,25.889999389648438,95.72000122070312,1781.56005859375,3.680000066757202,0.16559307277202606,1.3687942028045654
2014-01-28,115.05785369873047,25.78499984741211,97.41000366210938,1792.5,3.671999931335449,0.1656150221824646,1.3674652576446533
2014-01-29,113.23140716552734,25.7549991607666,97.36000061035156,1774.199951171875,3.621999979019165,0.1655382364988327,1.3655046224594116
2014-01-30,109.25619506835938,26.145000457763672,98.2300033569336,1794.18994140625,3.634999990463257,0.16540955007076263,1.365859031677246
2014-01-31,109.25619506835938,25.610000610351562,97.48999786376953,1782.5899658203125,3.621999979019165,0.16526193916797638,1.3558770418167114
2014-02-03,109.25619506835938,25.280000686645508,96.43000030517578,1741.8900146484375,3.5399999618530273,0.16526193916797638,1.3488178253173828
2014-02-04,109.25619506835938,25.155000686645508,97.19000244140625,1755.199951171875,3.5929999351501465,0.16526193916797638,1.3525028228759766
2014-02-05,109.25619506835938,25.174999237060547,97.37999725341797,1751.6400146484375,3.6530001163482666,0.16526193916797638,1.3515887260437012
2014-02-06,109.25619506835938,25.260000228881836,97.83999633789062,1773.4300537109375,3.674999952316284,0.16526193916797638,1.3535096645355225
2014-02-07,110.65289306640625,25.299999237060547,99.87999725341797,1797.02001953125,3.6649999618530273,0.16526193916797638,1.3592127561569214
2014-02-10,109.80165100097656,25.329999923706055,100.05999755859375,1799.8399658203125,3.6630001068115234,0.16519641876220703,1.361933946609497
2014-02-11,110.77685546875,25.799999237060547,99.94000244140625,1819.75,3.684999942779541,0.16530565917491913,1.364610195159912
2014-02-12,110.86776733398438,25.795000076293945,100.37000274658203,1819.260009765625,3.7230000495910645,0.16527286171913147,1.3639029264450073
2014-02-13,112.12396240234375,25.899999618530273,100.3499984741211,1829.8299560546875,3.686000108718872,0.16522370278835297,1.3590095043182373
2014-02-14,118.09917449951172,25.96500015258789,100.30000305175781,1838.6300048828125,3.700000047683716,0.16519096493721008,1.3678767681121826
2014-02-17,123.9504165649414,25.954999923706055,100.30000305175781,1838.6300048828125,3.700000047683716,0.16510096192359924,1.3699944019317627
2014-02-18,121.49586486816406,26.30500030517578,102.43000030517578,1840.760009765625,3.680000066757202,0.16517731547355652,1.3704450130462646
2014-02-19,123.5785140991211,26.479999542236328,103.30999755859375,1828.75,3.7070000171661377,0.16508732736110687,1.376197338104248
2014-02-20,123.13223266601562,26.665000915527344,102.91999816894531,1839.780029296875,3.7260000705718994,0.16483968496322632,1.3730417490005493
2014-02-21,123.20661163330078,26.834999084472656,102.19999694824219,1836.25,3.696000099182129,0.16464971005916595,1.372118592262268
2014-02-24,122.0,26.889999389648438,102.81999969482422,1847.6099853515625,3.7109999656677246,0.16443312168121338,1.3737962245941162
2014-02-25,117.6611557006836,26.71500015258789,101.83000183105469,1845.1199951171875,3.6610000133514404,0.16424407064914703,1.3736075162887573
2014-02-26,117.38016510009766,26.700000762939453,102.58999633789062,1845.1600341796875,3.634999990463257,0.1635429859161377,1.3746082782745361
2014-02-27,119.79338836669922,26.540000915527344,102.4000015258789,1854.2900390625,3.5959999561309814,0.1635376513004303,1.3681949377059937
2014-02-28,123.98347473144531,26.454999923706055,102.58999633789062,1859.449951171875,3.5920000076293945,0.16344141960144043,1.3707455396652222
